epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,2735.64,1.15243,3.9729,0.30976,0.67556,0.02691,5.33556,0.95854,0.95034,0.98606,0.672,0.87742,0.85326,0.8582,0.38387,1.21976,2.81919,0.37726,0.37111,0.04178,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,2815.53,1.16577,3.93314,0.30551,0.68727,0.02744,5.30683,0.9547,0.96526,0.98703,0.7231,0.89083,0.86729,0.87736,0.39828,1.05779,2.7413,0.37341,0.33391,0.03535,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,2897,1.15095,3.94085,0.30506,0.67684,0.02684,5.26501,0.95245,0.9644,0.98724,0.72758,0.90362,0.85731,0.88816,0.39627,1.04468,2.78083,0.37247,0.33704,0.03454,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,2977.56,1.14183,3.87585,0.30371,0.6598,0.02676,5.17491,0.95165,0.96477,0.98594,0.69442,0.87745,0.88289,0.87805,0.40066,1.15422,2.73264,0.37529,0.35754,0.03922,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,3060.23,1.13475,3.84977,0.30369,0.67165,0.02643,5.19982,0.94455,0.97027,0.98773,0.71031,0.88881,0.87776,0.8812,0.3963,1.09505,2.74038,0.3703,0.33955,0.03672,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,3140.73,1.12494,3.82918,0.30276,0.65775,0.0261,5.05265,0.95801,0.96124,0.98616,0.73122,0.90143,0.87962,0.89985,0.42496,1.03954,2.66339,0.36243,0.32589,0.03428,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,3220.66,1.11756,3.78591,0.30017,0.65985,0.02603,5.02035,0.96034,0.96679,0.98664,0.73175,0.91168,0.87886,0.89696,0.41928,1.03158,2.6655,0.36625,0.31701,0.03422,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,3301.09,1.1092,3.73961,0.29781,0.65919,0.02572,5.02686,0.94728,0.9707,0.98814,0.73946,0.89043,0.86142,0.87006,0.40465,0.99544,2.68248,0.36337,0.31473,0.03313,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,3383.26,1.09615,3.68846,0.29711,0.63928,0.0254,4.88954,0.9578,0.9724,0.98873,0.75913,0.90178,0.88957,0.90194,0.43803,0.95018,2.59424,0.36788,0.29946,0.03114,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,3463.62,1.09444,3.70552,0.29879,0.6437,0.02542,4.90953,0.956,0.96829,0.9884,0.74847,0.89775,0.88197,0.89136,0.43597,0.97803,2.59907,0.36537,0.31129,0.03237,0,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,3546.87,1.08471,3.66898,0.29867,0.63906,0.02527,4.80797,0.96794,0.96124,0.989,0.75908,0.90856,0.88104,0.90269,0.44627,0.9434,2.56273,0.36338,0.29534,0.03093,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,3627.59,1.08606,3.62639,0.29608,0.62662,0.02524,4.82912,0.95188,0.97299,0.98866,0.76921,0.90758,0.87651,0.90588,0.45059,0.90432,2.54873,0.35988,0.29308,0.02959,0,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,3707.12,1.07248,3.55423,0.29549,0.6337,0.02486,4.75366,0.9633,0.97299,0.98941,0.77214,0.92465,0.89196,0.91705,0.45892,0.91028,2.54506,0.36218,0.28895,0.02973,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,3787.81,1.06558,3.53014,0.29246,0.62512,0.02467,4.6952,0.97373,0.95757,0.98909,0.78441,0.9161,0.88479,0.90712,0.4523,0.85902,2.53789,0.3658,0.27708,0.028,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,3874.59,1.06317,3.45863,0.29325,0.61404,0.0246,4.62805,0.97156,0.95772,0.9887,0.76835,0.92437,0.89713,0.9165,0.45328,0.90668,2.49393,0.36165,0.29294,0.02995,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,3960.79,1.06918,3.51524,0.2907,0.61854,0.02467,4.56114,0.97279,0.96242,0.99005,0.79125,0.91832,0.9045,0.91058,0.45815,0.83195,2.46557,0.3573,0.27474,0.02707,0,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,4046.12,1.05643,3.42152,0.28992,0.61464,0.02445,4.50106,0.95749,0.97064,0.98883,0.78993,0.90781,0.89372,0.9074,0.46628,0.85602,2.4672,0.35906,0.27868,0.02799,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,4131.11,1.05326,3.43127,0.29133,0.61386,0.0242,4.49858,0.96989,0.96473,0.98953,0.79028,0.91659,0.90984,0.91953,0.4743,0.84198,2.44953,0.36067,0.276,0.02729,0,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,4215.52,1.0504,3.39876,0.28933,0.60329,0.02435,4.44188,0.96205,0.96768,0.98931,0.79129,0.926,0.90378,0.91984,0.46852,0.83567,2.43636,0.35896,0.28285,0.02716,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4301.48,1.04397,3.33744,0.28711,0.58817,0.02405,4.35897,0.9628,0.97181,0.99025,0.78876,0.92898,0.89872,0.91743,0.46828,0.84948,2.41504,0.35992,0.27401,0.02751,0,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
